school_code,date,meal,served_total,offered_total,planned_total,discarded_total,leftover_total,production_cost_total,discarded_cost_total,school_name,region,region_num,school_level,distribution_kitchen,fns_area,cep,school_name_norm,cost_per_meal,deviation_vs_planned,waste_qty,waste_rate,discarded_cost_per_meal,year,month,week,day
287,2025-05-29,Lunch,36.0,0.0,5246.0,1456.0,932.0,2324.06,25.32,Hutchison Elementary,Region 1,1,ES,Herndon,4,1,HUTCHISON ES,64.55722222222222,-5210.0,1456.0,0.0,0.7033333333333334,2025,5,22,29
252,2025-05-29,Lunch,42.0,0.0,1188.0,12778.0,574.0,644.06,45.66,Lees Corner Elementary,Region 5,5,ES,Westfield,10,0,LEES CORNER ES,15.334761904761905,-1146.0,12778.0,0.0,1.087142857142857,2025,5,22,29
252,2025-05-29,Breakfast,0.0,0.0,260.0,0.0,102.0,98.5,0.0,Lees Corner Elementary,Region 5,5,ES,Westfield,10,0,LEES CORNER ES,0.0,-260.0,102.0,0.0,0.0,2025,5,22,29
95,2025-05-29,Breakfast,0.0,0.0,1566.0,0.0,190.0,598.06,0.0,Westlawn Elementary,Region 2,2,ES,Falls Church,2,1,WESTLAWN ES,0.0,-1566.0,190.0,0.0,0.0,2025,5,22,29
95,2025-05-29,Lunch,26.0,12.0,2646.0,3198.0,276.0,1748.62,7.36,Westlawn Elementary,Region 2,2,ES,Falls Church,2,1,WESTLAWN ES,67.25461538461538,-2620.0,3198.0,266.5,0.2830769230769231,2025,5,22,29
147,2025-05-29,Lunch,0.0,0.0,8832.0,0.0,0.0,3079.18,0.0,Braddock Elementary,Region 6,6,ES,Falls Church,9,1,BRADDOCK ES,0.0,-8832.0,0.0,0.0,0.0,2025,5,22,29
147,2025-05-29,Breakfast,0.0,0.0,3874.0,0.0,0.0,1034.94,0.0,Braddock Elementary,Region 6,6,ES,Falls Church,9,1,BRADDOCK ES,0.0,-3874.0,0.0,0.0,0.0,2025,5,22,29
407,2025-05-29,Breakfast,0.0,4.0,1046.0,0.0,560.0,376.52,0.0,Kings Park Elementary,Region 4,4,ES,Chantilly,9,0,KINGS PARK ES,0.0,-1046.0,560.0,140.0,0.0,2025,5,22,29
407,2025-05-29,Lunch,0.0,72.0,2304.0,0.0,1972.0,1410.34,0.0,Kings Park Elementary,Region 4,4,ES,Chantilly,9,0,KINGS PARK ES,0.0,-2304.0,1972.0,27.38888888888889,0.0,2025,5,22,29
207,2025-05-29,Breakfast,0.0,0.0,612.0,0.0,346.0,351.5,0.0,Bucknell Elementary,Region 3,3,ES,Mount Vernon,6,1,BUCKNELL ES,0.0,-612.0,346.0,0.0,0.0,2025,5,22,29
207,2025-05-29,Lunch,6.0,40.0,1250.0,1584.0,454.0,1082.88,1.6,Bucknell Elementary,Region 3,3,ES,Mount Vernon,6,1,BUCKNELL ES,180.48,-1244.0,1584.0,39.6,0.2666666666666666,2025,5,22,29
150,2025-05-29,Lunch,122.0,1294.0,7992.0,14346.0,946.0,3666.94,49.08,West Springfield High,Region 4,4,HS,South County,7,0,WEST SPRINGFIELD HS,30.05688524590164,-7870.0,14346.0,11.086553323029367,0.4022950819672131,2025,5,22,29
150,2025-05-29,Breakfast,0.0,118.0,494.0,0.0,232.0,256.58,0.0,West Springfield High,Region 4,4,HS,South County,7,0,WEST SPRINGFIELD HS,0.0,-494.0,232.0,1.9661016949152543,0.0,2025,5,22,29
229,2025-05-29,Breakfast,0.0,0.0,890.0,0.0,96.0,364.88,0.0,Woodley Hills Elementary,Region 3,3,ES,Mount Vernon,6,1,WOODLEY HILLS ES,0.0,-890.0,96.0,0.0,0.0,2025,5,22,29
229,2025-05-29,Lunch,0.0,0.0,1410.0,0.0,818.0,1157.62,0.0,Woodley Hills Elementary,Region 3,3,ES,Mount Vernon,6,1,WOODLEY HILLS ES,0.0,-1410.0,818.0,0.0,0.0,2025,5,22,29
